brand,model,variant,type,price,fuel,displacement,bhp,torque,no_of_cylinders,transmission,gearbox,drive_type,mileage,capacity,front_brake,rear_brake,boot_space,seating_capacity,ground_clearance,wheel_base,gross_weight,cruise_control,parking_sensors,keyLess_entry,engine_start/stop_button,tyre_size,tyre_type,LED_headlamps,no_of_airbags,rear_camera,hill_assist,NCAP_rating,url,drive_modes,touchscreen,drive_mode_types,android_auto
maruti,maruti dzire,maruti dzire lxi,sedan cars,679000,petrol,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,Manual,5-Speed,FWD,24.79 kmpl,37 Litres,Disc,Drum,382 Litres,5,163 mm,2450 mm,1375 kg,Not Available,Rear,Yes,Not Available,165/80 R14,Radial Tubeless,Not Available,6,Not Available,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_LXI.htm,,,,
maruti,maruti dzire,maruti dzire vxi,sedan cars,779000,petrol,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,Manual,5-Speed,FWD,24.79 kmpl,37 Litres,Disc,Drum,382 Litres,5,163 mm,2450 mm,1375 kg,Not Available,Rear,Yes,Not Available,165/80 R14,Radial Tubeless,Not Available,6,Not Available,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_VXI.htm,,,,
maruti,maruti dzire,maruti dzire vxi amt,sedan cars,824000,petrol,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,Automatic,5-Speed,FWD,25.71 kmpl,37 Litres,Disc,Drum,382 Litres,5,163 mm,2450 mm,1375 kg,Not Available,Rear,Yes,Not Available,165/80 R14,Radial Tubeless,Not Available,6,Not Available,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_VXI_AMT.htm,,,,
maruti,maruti dzire,maruti dzire vxi cng,sedan cars,874000,cng,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3,Manual,5-Speed,FWD,33.73 km/kg,37.0,Disc,Drum,,5,163 mm,2450 mm,1435 kg,Not Available,Rear,Yes,Not Available,165/80 R14,Radial Tubeless,Not Available,6,Not Available,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_VXI_CNG.htm,,,,
maruti,maruti dzire,maruti dzire zxi,sedan cars,889000,petrol,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,Manual,5-Speed,FWD,24.79 kmpl,37 Litres,Disc,Drum,382 Litres,5,163 mm,2450 mm,1375 kg,Not Available,Rear,Yes,Yes,185/65 R15,Radial Tubeless,Yes,6,With Guidedlines,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI.htm,,,,
maruti,maruti dzire,maruti dzire zxi amt,sedan cars,934000,petrol,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,Automatic,5-Speed AMT,FWD,25.71 kmpl,37 Litres,Disc,Drum,382 Litres,5,163 mm,2450 mm,1375 kg,Not Available,Rear,Yes,Yes,185/65 R15,Radial Tubeless,Yes,6,With Guidedlines,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_AMT.htm,,,,
maruti,maruti dzire,maruti dzire zxi plus,sedan cars,969000,petrol,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,Manual,5-Speed,FWD,24.79 kmpl,37 Litres,Disc,Drum,382 Litres,5,163 mm,2450 mm,1375 kg,Yes,Rear,Yes,Yes,185/65 R15,Radial Tubeless,Yes,6,With Guidedlines,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_Plus.htm,,,,
maruti,maruti dzire,maruti dzire zxi cng,sedan cars,984000,cng,1197 cc,69bhp@5700rpm,101.8Nm@2900rpm,3,Manual,5-Speed,FWD,33.73 km/kg,37.0,Disc,Drum,,5,163 mm,2450 mm,1435 kg,Not Available,Rear,Yes,Yes,185/65 R15,Radial Tubeless,Yes,6,With Guidedlines,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_CNG.htm,,,,
maruti,maruti dzire,maruti dzire zxi plus amt,sedan cars,1014000,petrol,1197 cc,80bhp@5700rpm,111.7Nm@4300rpm,3,Automatic,5-Speed AMT,FWD,25.71 kmpl,37 Litres,Disc,Drum,382 Litres,5,163 mm,2450 mm,1375 kg,Yes,Rear,Yes,Yes,185/65 R15,Radial Tubeless,Yes,6,With Guidedlines,Yes,5 Star,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_Plus_AMT.htm,,,,
maruti,maruti swift,maruti swift lxi,hatchback cars,649000,petrol,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,Manual,5-Speed,FWD,24.8 kmpl,37 Litres,Ventilated Disc,Drum,265 Litres,5,163 mm,2450 mm,1355 kg,Not Available,Rear,Yes,Not Available,165/80 R14,Radial Tubeless,Not Available,6,Not Available,Yes,,https://www.cardekho.com/overview/Maruti_Swift/Maruti_Swift_LXi.htm,,,,
maruti,maruti swift,maruti swift vxi,hatchback cars,729500,petrol,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,Manual,5-Speed,FWD,24.8 kmpl,37 Litres,Ventilated Disc,Drum,265 Litres,5,163 mm,2450 mm,1355 kg,Not Available,Rear,Yes,Not Available,165/80 R14,Radial Tubeless,Not Available,6,Not Available,Yes,,https://www.cardekho.com/overview/Maruti_Swift/Maruti_Swift_VXi.htm,,,,
maruti,maruti swift,maruti swift vxi opt,hatchback cars,756500,petrol,1197 cc,80.46bhp@5700rpm,111.7Nm@4300rpm,3,Manual,5-Speed,FWD,24.8 kmpl,37 Litres,Ventilated Disc,Drum,265 Litres,5,163 mm,2450 mm,1355 kg,Not Available,Rear,Yes,Yes,165/80 R14,Radial Tubeless,Not Available,6,Not Available,Yes,4 Star,https://www.cardekho.com/overview/Maruti_Swift/Maruti_Swift_VXi_Opt.htm,,,,
