brand,model,variant,type,price,fuel,displacement,no_of_cylinders,transmission,gearbox,drive_type,mileage,capacity,front_brake,rear_brake,boot_space,seating_capacity,wheel_base,cruise_control,parking_sensors,keyLess_entry,engine_start_stop_button,tyre_size,tyre_type,LED_headlamps,no_of_airbags,rear_camera,hill_assist,url,bhp_value,bhp_rpm,torque_value,torque_rpm,image_link,Ahmedabad,Bangalore,Chandigarh,Chennai,Hyderabad,Jaipur,Lucknow,Mumbai,Patna,Pune
maruti,maruti dzire,maruti dzire lxi,sedan cars,679000,petrol,1197,3.0,Manual,5,FWD,24.79,37.0,Disc,Drum,382.0,5,2450.0,False,Rear,True,False,165/80 R14,Radial Tubeless,False,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_LXI.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,763000.0,860000.0,853999.9999999999,811000.0,818000.0,787000.0,767000.0,798000.0,793000.0,797000.0
maruti,maruti dzire,maruti dzire vxi,sedan cars,779000,petrol,1197,3.0,Manual,5,FWD,24.79,37.0,Disc,Drum,382.0,5,2450.0,False,Rear,True,False,165/80 R14,Radial Tubeless,False,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_VXI.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,873000.0,983000.0,975000.0,927999.9999999999,935000.0,901000.0,876000.0,913000.0000000001,905000.0000000001,911999.9999999999
maruti,maruti dzire,maruti dzire vxi amt,sedan cars,824000,petrol,1197,3.0,Automatic,5,FWD,25.71,37.0,Disc,Drum,382.0,5,2450.0,False,Rear,True,False,165/80 R14,Radial Tubeless,False,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_VXI_AMT.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,927000.0,1044999.9999999999,1034000.0,986000.0,994000.0,952000.0,931000.0,969999.9999999999,961999.9999999999,969000.0
maruti,maruti dzire,maruti dzire vxi cng,sedan cars,874000,cng,1197,3.0,Manual,5,FWD,33.73,37.0,Disc,Drum,,5,2450.0,False,Rear,True,False,165/80 R14,Radial Tubeless,False,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_VXI_CNG.htm,69,5700.0,101.8,2900.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,977000.0,1101000.0,1095000.0,1038000.0000000001,1047000.0000000001,1009000.0,981000.0,985000.0,1023000.0,986000.0
maruti,maruti dzire,maruti dzire zxi,sedan cars,889000,petrol,1197,3.0,Manual,5,FWD,24.79,37.0,Disc,Drum,382.0,5,2450.0,False,Rear,True,True,185/65 R15,Radial Tubeless,True,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,993000.0,1118000.0,1107000.0,1056000.0,1065000.0,1026000.0,997000.0000000001,1038000.0000000001,1036999.9999999999,1038000.0000000001
maruti,maruti dzire,maruti dzire zxi amt,sedan cars,934000,petrol,1197,3.0,Automatic,-1,FWD,25.71,37.0,Disc,Drum,382.0,5,2450.0,False,Rear,True,True,185/65 R15,Radial Tubeless,True,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_AMT.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,1048000.0,1180000.0,1166000.0,1114000.0,1124000.0,1077000.0,1051000.0,1095000.0,1094000.0,1095000.0
maruti,maruti dzire,maruti dzire zxi plus,sedan cars,969000,petrol,1197,3.0,Manual,5,FWD,24.79,37.0,Disc,Drum,382.0,5,2450.0,True,Rear,True,True,185/65 R15,Radial Tubeless,True,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_Plus.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,1076000.0,1211000.0,1198000.0,1143000.0,1148000.0,1117000.0,1079000.0,1124000.0,1122000.0,1124000.0
maruti,maruti dzire,maruti dzire zxi cng,sedan cars,984000,cng,1197,3.0,Manual,5,FWD,33.73,37.0,Disc,Drum,,5,2450.0,False,Rear,True,True,185/65 R15,Radial Tubeless,True,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_CNG.htm,69,5700.0,101.8,2900.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,1097000.0,1237000.0,1228000.0,1167000.0,1177000.0,1134000.0,1101000.0,1106000.0,1147000.0,1107000.0
maruti,maruti dzire,maruti dzire zxi plus amt,sedan cars,1014000,petrol,1197,3.0,Automatic,-1,FWD,25.71,37.0,Disc,Drum,382.0,5,2450.0,True,Rear,True,True,185/65 R15,Radial Tubeless,True,6.0,False,True,https://www.cardekho.com/overview/Maruti_Dzire/Maruti_Dzire_ZXI_Plus_AMT.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Dzire/11387/1731318279714/front-left-side-47.jpg,1141000.0,1316000.0,1267000.0,1263000.0,1253000.0,1178000.0,1164000.0,1202000.0,1190000.0,1202000.0
maruti,maruti swift,maruti swift lxi,hatchback cars,649000,petrol,1197,3.0,Manual,5,FWD,24.8,37.0,Ventilated Disc,Drum,265.0,5,2450.0,False,Rear,True,False,165/80 R14,Radial Tubeless,False,6.0,False,True,https://www.cardekho.com/overview/Maruti_Swift/Maruti_Swift_LXi.htm,80,5700.0,111.7,4300.0,https://stimg.cardekho.com/images/carexteriorimages/930x620/Maruti/Swift/9226/1739945896166/front-left-side-47.jpg,731000.0,813000.0000000001,798000.0,768000.0,775000.0,753000.0,733000.0,759000.0,753000.0,760000.0
