url,type,cause
https://www.cardekho.com/overview/Maruti_Super_Carry/Maruti_Super_Carry_STD.htm,variant,list index out of range
https://www.cardekho.com/overview/Maruti_Super_Carry/Maruti_Super_Carry_STD_CNG.htm,variant,list index out of range
https://www.cardekho.com/overview/Tata_Yodha_Pickup/Tata_Yodha_Pickup_Eco.htm,variant,list index out of range
https://www.cardekho.com/overview/Tata_Yodha_Pickup/Tata_Yodha_Pickup_Crew_Cabin.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_Bolero_Pik_Up_Extra_Long/Mahindra_Bolero_Pik_Up_Extra_Long_1.3_T_CBC_MS.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_Bolero_Pik_Up_Extra_Long/Mahindra_Bolero_Pik_Up_Extra_Long_1.3_T_MS.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_Bolero_Pik_Up_Extra_Long/Mahindra_Bolero_Pik_Up_Extra_Long_4WD.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_Bolero_Pik_Up_Extra_Long/Mahindra_Bolero_Pik_Up_Extra_Long_1.3_T.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_Bolero_Pik_Up_Extra_Long/Mahindra_Bolero_Pik_Up_Extra_Long_1.3_T_AC.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_BOLERO_PIK_UP_Extra_Strong/Mahindra_BOLERO_PIK_UP_Extra_Strong_CBC_1.3T_MS.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_BOLERO_PIK_UP_Extra_Strong/Mahindra_BOLERO_PIK_UP_Extra_Strong_4WD_MS.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_BOLERO_PIK_UP_Extra_Strong/Mahindra_BOLERO_PIK_UP_Extra_Strong_CBC_4WD_PS.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_BOLERO_PIK_UP_Extra_Strong/Mahindra_BOLERO_PIK_UP_Extra_Strong_FB_1.3T_MS.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_BOLERO_PIK_UP_Extra_Strong/Mahindra_BOLERO_PIK_UP_Extra_Strong_4WD_PS.htm,variant,list index out of range
https://www.cardekho.com/overview/Mahindra_BOLERO_PIK_UP_Extra_Strong/Mahindra_BOLERO_PIK_UP_Extra_Strong_FB_1.3T_PS.htm,variant,list index out of range
https://www.cardekho.com/overview/Ferrari_296_GTB/Ferrari_296_GTB_V6_hybrid.htm,variant,list index out of range
https://www.cardekho.com/overview/Land_Rover_Discovery/Land_Rover_Discovery_2.0_S.htm,variant,list index out of range
https://www.cardekho.com/overview/Land_Rover_Discovery/Land_Rover_Discovery_2.0_Dynamic_HSE.htm,variant,list index out of range
https://www.cardekho.com/overview/Land_Rover_Discovery/Land_Rover_Discovery_3.0_Dynamic_HSE.htm,variant,list index out of range
https://www.cardekho.com/overview/Land_Rover_Discovery/Land_Rover_Discovery_3.0_Diesel_Dynamic_HSE.htm,variant,list index out of range
https://www.cardekho.com/overview/Land_Rover_Discovery/Land_Rover_Discovery_3.0_Diesel_Metropolitan_Edition.htm,variant,list index out of range
https://www.cardekho.com/overview/Land_Rover_Discovery/Land_Rover_Discovery_3.0_l_Metropolitan_Edition.htm,variant,list index out of range
https://www.cardekho.com/overview/Lotus_Emira/Lotus_Emira_Turbo_SE.htm,variant,list index out of range
https://www.cardekho.com/overview/Maruti_Super_Carry/Maruti_Super_Carry_STD.htm,variant,list index out of range
https://www.cardekho.com/overview/Maruti_Super_Carry/Maruti_Super_Carry_STD_CNG.htm,variant,list index out of range
